level_0,index,school_id,username,caption,rating,retrieval_date,relative_date,timestamp,id_review,url_user,n_review_user
96,96,anchor-green,Xavier Tan,"This school disciplinary is low in standards,i studied here for 6 years, discipline masters is way too unfair, the Teachers is great,principle Mdm norliza was great but their disciplinary is not there.would not recommend to parents",1,2023-12-24 21:30:42.131869,a year ago,2022-12-24 21:30:42,NA,NA,NA
97,97,anchor-green,julia,is anyone a friend of destin lau ven kit or a parent of him or IS him? I'm looking for him and I think he might be in this school. Pls email me if you are any of the following!,3,2023-12-24 21:30:42.133868,a year ago,2022-12-24 21:30:42,NA,NA,NA
98,98,anchor-green,zxytz,this school is very good very niice,5,2023-12-24 21:30:42.133868,a year ago,2022-12-24 21:30:42,NA,NA,NA
99,99,anchor-green,Josh Lee,This school is good. teachers very nice.,5,2023-12-24 21:30:48.307905,2 years ago,2021-12-24 21:30:48,NA,NA,NA
100,100,anchor-green,May Mona Wong,So far so good,5,2023-12-24 21:30:48.308904,3 years ago,2020-12-24 21:30:48,NA,NA,NA
101,101,anchor-green,haryanto sinom,This school is good but i'd say 5 stars for this school and i studied here for 3 years !,5,2023-12-24 21:30:48.308904,3 years ago,2020-12-24 21:30:48,NA,NA,NA
102,102,anchor-green,Simon Voo,Bad school lol,1,2023-12-24 21:30:48.309905,3 years ago,2020-12-24 21:30:48,NA,NA,NA
103,103,anchor-green,Coronavirus Coronavirus,"Horrible School, the general office people did not attend to my needs.",1,2023-12-24 21:30:48.310904,3 years ago,2020-12-24 21:30:48,NA,NA,NA
104,104,anchor-green,Recolia Ng,After 6 years I can say that this school is ok not good not bad but in the middle the teachers can be biased but none the less I still reccommend this school to parents,3,2023-12-24 21:30:54.543039,4 years ago,2019-12-25 21:30:54,NA,NA,NA
105,105,anchor-green,laasya :D,"Most of the bad reviews here are from students who hate school and studying,so don’t bother them.This is a great school with good facilities and teachers who always cater to our needs.Even though I am a student studying into this school,I have to admit that the students in this school have to be more disciplined.However,this school has been excelling in both academics and CCAs.I am extremely proud to be an Anchorlite.",5,2023-12-24 21:30:54.545040,4 years ago,2019-12-25 21:30:54,NA,NA,NA
106,106,anchor-green,Jermaine,I love the school. It is filled with fun and education right at the same time. 👍👍👍 …,5,2023-12-24 21:30:54.547038,4 years ago,2019-12-25 21:30:54,NA,NA,NA
107,107,anchor-green,Sachin Varshney,My son studied here. The teachers were great and he scored academically well. Great school,5,2023-12-24 21:30:54.549039,4 years ago,2019-12-25 21:30:54,NA,NA,NA
108,108,anchor-green,Vansh Sharma,Excellent,5,2023-12-24 21:31:00.772848,5 years ago,2018-12-25 21:31:00,NA,NA,NA
109,109,anchor-green,Vincent Chua,Good place,3,2023-12-24 21:31:00.774850,6 years ago,2017-12-25 21:31:00,NA,NA,NA
110,110,anchor-green,JB GG,Very good school,5,2023-12-24 21:31:00.777850,6 years ago,2017-12-25 21:31:00,NA,NA,NA
111,111,anchor-green,Vibin J. K.,Great badminton courts,3,2023-12-24 21:31:07.044592,8 years ago,2015-12-26 21:31:07,NA,NA,NA
112,112,anchor-green,Jip Wee,"Teacher is ok, I also study there",3,2023-12-24 21:31:07.045594,8 years ago,2015-12-26 21:31:07,NA,NA,NA
113,113,anchor-green,joline,Teachers are nice,5,2023-12-24 21:31:07.046595,8 years ago,2015-12-26 21:31:07,NA,NA,NA
114,114,anchor-green,Lokesh Ravi,Yessssssss,3,2023-12-24 21:31:07.047593,9 years ago,2014-12-26 21:31:07,NA,NA,NA
115,115,anderson,Random Person,I love wolves  best school ever! i remember vry clearly during class i was sound asleep when the fire alarm suddenly rang!! The teacher brought us to the field and there was a troll out there! The troll was happily munching on the P1 kids! So the canteen auntie dissolved it into thin air and we “L”Ed it as it left us! 😎  oh yeah and my crippling depression and mental health issues came from here but it's whatever😊,5,2023-12-24 21:31:38.703264,a day ago,2023-12-23 21:31:38,NA,NA,NA
116,116,anderson,Kai le,"I was a student in this sch for 6 years. I graduated in 2023. I still remember the times when weird, but fun stuff happened. For one example, one time when we were running laps in the field, a bird with a human face swooped down and picked on a fight with one of my classmates. We were all very shocked upon seeing what was happening! Luckily, my cher quickly ate the bird and morphed into one! My classmate then evaporated into thin air and was last seen on a tiktok as a furry.",5,2023-12-24 21:31:38.704265,2 days ago,2023-12-22 21:31:38,NA,NA,NA
117,117,anderson,Singa Lion,Very good government school and easy for working parents. Child care services after school hours 😁 …,5,2023-12-24 21:31:38.704265,a month ago,2023-11-24 21:31:38,NA,NA,NA
118,118,anderson,Suriyantie Kamsani,My son learned more faster in his work and has good handwriting.,5,2023-12-24 21:31:38.705263,2 months ago,2023-10-25 21:31:38,NA,NA,NA
119,119,anderson,bruh stars,no more magical toilet bowl 👎👎 …,1,2023-12-24 21:31:38.706263,3 months ago,2023-09-25 21:31:38,NA,NA,NA
120,120,anderson,Carissa Goh,Anderson primary is the best school that I been to,5,2023-12-24 21:31:38.707265,5 months ago,2023-07-27 21:31:38,NA,NA,NA
121,121,anderson,Itz Momonga,Goo goo ga ga,5,2023-12-24 21:31:38.708263,5 months ago,2023-07-27 21:31:38,NA,NA,NA
122,122,anderson,HJ K,It has a lot of good teachers and cleanners,5,2023-12-24 21:31:38.708263,8 months ago,2023-04-28 21:31:38,NA,NA,NA
123,123,anderson,bb cadsf,im dying to see mr tan later,5,2023-12-24 21:31:38.711263,2 years ago,2021-12-24 21:31:38,NA,NA,NA
124,124,anderson,Noah Eliott Cheng (Andersonps),The basketball team there is good peace,5,2023-12-24 21:31:38.711263,2 years ago,2021-12-24 21:31:38,NA,NA,NA
125,125,anderson,Jeryl Cheong,"I love the school, especially the teachers are kind and helpful",5,2023-12-24 21:31:38.712263,2 years ago,2021-12-24 21:31:38,NA,NA,NA
126,126,anderson,Chua Mei Chien,It is a nice school,4,2023-12-24 21:31:38.713263,3 years ago,2020-12-24 21:31:38,NA,NA,NA
127,127,anderson,Andy Koh,"A good school for children that loves music(Traditional Chinese instruments, Malay instrument   band and dance clubs. They even have Boys Brigade plus various other sports club like badminton, soccer, volleyball and basketball. Gymnastics was offered last time, i do not know whether it still has. Giod and motivating teachers and principal.",4,2023-12-24 21:31:38.714265,3 years ago,2020-12-24 21:31:38,NA,NA,NA
128,128,anderson,Hamilton Lee,lovely school,1,2023-12-24 21:31:44.900434,3 years ago,2020-12-24 21:31:44,NA,NA,NA
129,129,anderson,Ben Mohd,S'pore science Festival 2019,5,2023-12-24 21:31:44.901434,4 years ago,2019-12-25 21:31:44,NA,NA,NA
130,130,anderson,Jason,I was here and i liked the school environment. Not much homework as they want you to have a broader education.,4,2023-12-24 21:31:44.902434,4 years ago,2019-12-25 21:31:44,NA,NA,NA
131,131,anderson,Pastel blue Avenue,OM was problematic,1,2023-12-24 21:31:51.122593,4 years ago,2019-12-25 21:31:51,NA,NA,NA
132,132,anderson,Siambuddhas,"understanding teachers.. making My kid feels more ease in learning.. keep it up...all her childhood friends are also in the same school so learning together,discussing together without problems.",5,2023-12-24 21:31:51.123593,5 years ago,2018-12-25 21:31:51,NA,NA,NA
